Vinf;textID;HelpForm;To;LingDist;ToHelp;Formality;Helpee
protect;305001;help;Yes;0;No;4.66802444;No
prevent;249307;help;Yes;0;No;4.913143736;No
pull;329103;help;Yes;1;Yes;4.966994106;Yes
precipitate;3029314;helps;No;0;No;4.175099443;No
invest;3033808;help;No;1;Yes;4.630922693;Yes
find;3043203;helping;No;1;No;4.829039813;Yes
behave;3047300;help;Yes;1;No;4.470444021;Yes
identify;3043500;helps;No;0;No;4.758264463;No
create;211702;helped;No;0;No;4.984962406;No
establish;327602;helped;No;0;No;4.464071856;No
understand;346107;helps;No;1;No;4.816189624;Yes
gain;336805;help;No;1;Yes;5.055214724;Yes
encourage;3028402;help;No;0;Yes;4.500927644;No
learn;349806;help;No;2;Yes;5.403946112;Yes
make;17302;help;No;0;Yes;5.135327635;No
define;3037502;helps;No;0;No;4.157099698;No
follow;113201;help;No;2;No;4.498334444;Yes
relax;3090506;helping;No;1;No;4.828162291;Yes
score;3087804;helped;No;0;No;4.028064993;No
prosper;3074803;help;No;3;Yes;4.379396462;Yes
improve;3085913;help;No;0;Yes;4.505171042;No
beat;3019800;helped;No;1;No;4.256106812;Yes
sell;3019214;help;No;1;Yes;4.628297362;Yes
meet;3091003;help;Yes;0;No;4.230567333;No
make;52801;help;Yes;0;No;4.303046218;No
bring;3090110;help;No;0;No;4.559055118;No
avoid;3063714;help;Yes;1;No;4.284353742;Yes
grow;131707;help;No;2;Yes;4.755926934;Yes
keep;408408;helps;Yes;0;No;4.136494253;No
argue;104608;help;No;0;Yes;4.554222235;No
encourage;3078813;help;No;0;Yes;4.510791367;No
progress;262703;helping;Yes;1;No;4.358595194;Yes
step;333208;help;No;3;Yes;4.2;Yes
release;3018314;help;Yes;0;No;4.804511278;No
get;3023711;help;No;1;Yes;4.273512476;Yes
make;340004;help;No;1;No;3.906148867;Yes
figure;3029213;help;Yes;1;No;4.804459691;Yes
search;330202;help;No;1;Yes;4.772435897;Yes
analyze;224100;help;No;1;Yes;4.348654709;Yes
spread;3054013;help;Yes;1;No;4.008281574;Yes
work;3081500;help;No;1;No;4.694680851;Yes
awaken;3059408;helped;No;0;No;4.229601518;No
light;347507;help;No;0;Yes;4.642002782;No
learn;235300;help;No;2;No;4.023235031;Yes
draw;3053014;help;No;0;Yes;4.190071848;No
become;23300;help;No;1;No;4.629177378;Yes
correct;3076402;help;Yes;0;No;4.415629984;No
contribute;3062903;help;Yes;0;No;4.432026689;No
embrace;364703;help;No;4;Yes;4.855534709;Yes
pay;130707;help;No;0;Yes;4.835810811;No
be;3074610;help;No;1;No;4.588645418;Yes
have;171406;helps;Yes;1;No;5.534653465;Yes
overcome;3017414;help;No;1;Yes;4.201975851;Yes
achieve;3051310;helping;Yes;1;No;4.8828125;Yes
connect;3026804;help;No;1;No;3.991672835;Yes
keep;297704;help;No;0;No;4.631768953;No
facilitate;3078210;help;Yes;0;No;4.567729084;No
gain;3049210;helped;No;1;No;4.419230769;Yes
clock;192004;help;No;1;Yes;4.456922718;Yes
ensure;3073602;helping;No;0;No;4.687218045;No
become;3066304;help;No;1;No;4.434697856;Yes
sustain;82904;help;No;0;No;5.109774436;No
nurture;124205;help;No;0;No;4.519953052;No
encourage;3006208;help;No;0;Yes;5.019920319;No
save;9705;help;No;1;Yes;4.608404967;Yes
navigate;298905;help;No;1;No;4.597410799;Yes
appreciate;179207;helps;No;3;No;4.326121795;Yes
find;3031304;help;No;1;No;3.890909091;Yes
pay;3058906;help;No;1;Yes;4.840540541;Yes
communicate;3022413;helped;Yes;0;No;4.092068774;No
fall;3035109;helped;No;1;No;3.886703383;Yes
change;346202;helps;No;0;No;4.419281492;No
stimulate;3029500;helped;No;0;No;5.055940023;No
identify;321700;help;No;0;No;5.342336683;No
improve;3032208;helps;No;0;No;4.84591195;No
bring;3029703;help;No;1;No;4.02689243;Yes
visualize;8601;help;No;1;Yes;4.443378119;Yes
find;3074814;helped;Yes;0;No;4.379562044;No
become;3082713;helping;No;1;No;4.618849357;Yes
fix;3028106;helped;No;0;No;4.432629333;No
keep;3040509;help;No;0;Yes;4.211062591;No
run;413903;helping;Yes;0;No;4.313590693;No
transition;3071202;help;Yes;0;No;4.528648649;No
improve;3035614;help;No;2;Yes;4.831111111;Yes
function;3079300;help;No;1;No;4.279483037;Yes
do;3087400;helping;No;1;No;4.272108844;Yes
add;29307;help;No;0;Yes;4.918001885;No
come;84106;help;No;1;No;4.325696854;Yes
clear;3009313;help;No;0;No;4.331306991;No
bring;127201;help;No;0;No;5.258883249;No
open;394201;helps;No;1;No;4.498211091;Yes
continue;114807;help;Yes;2;No;4.344887348;Yes
get;3040109;help;No;0;No;4.345299529;No
understand;197603;help;Yes;1;No;4.374251497;Yes
face;3050602;help;No;1;No;4.765291607;Yes
meet;296304;helps;No;1;No;4.366579178;Yes
reduce;401708;helping;Yes;0;No;4.351170569;No
board;3013904;helped;Yes;5;No;5.023072594;Yes
work;3018907;helping;Yes;1;No;4.995485327;Yes
mask;3028108;help;No;0;No;4.530003093;No
reach;3086112;helped;No;1;No;4.383383383;Yes
carry;83306;help;No;2;No;4.795888399;Yes
shift;349005;helping;Yes;1;No;4.815490634;Yes
maintain;245807;help;No;0;Yes;4.300890208;No
tighten;3067506;help;No;1;No;4.38336714;Yes
combat;362101;helps;No;0;No;4.513994911;No
raise;3021708;help;No;0;Yes;4.224816544;No
keep;147407;help;No;0;No;4.351571595;No
find;40100;help;Yes;1;No;5.0327654;Yes
fight;3080801;help;No;0;Yes;4.105691057;No
achieve;224700;helping;No;4;Yes;4.282712512;Yes
prevent;3005011;helps;No;0;No;3.885047897;No
budget;3048800;help;No;1;No;4.591194969;Yes
optimize;171007;help;Yes;0;No;4.964705882;No
feed;44304;helps;Yes;0;No;4.459668508;No
train;3058500;help;No;0;Yes;4.335889571;No
combat;3061306;help;Yes;0;No;4.637583893;No
spread;208902;help;Yes;0;No;4.39616464;No
maintain;236401;help;No;0;No;4.331667948;No
tell;3090200;help;No;0;Yes;4.559112405;No
make;3061201;help;Yes;0;No;4.277673546;No
secure;263007;helped;Yes;1;No;4.324758842;Yes
recover;3035703;helped;No;2;No;4.076923077;Yes
minimize;3084301;help;No;0;No;4.108196721;No
look;3002402;help;No;0;Yes;4.476155965;No
pull;3086808;helping;Yes;0;No;4.519008264;No
answer;3005603;help;No;0;Yes;4.53968254;No
produce;3075905;help;Yes;0;No;4.469498911;No
rescue;3076704;help;No;1;Yes;4.246121083;Yes
raise;3020607;helping;No;1;No;4.432142857;Yes
explain;394201;help;Yes;0;No;4.498211091;No
secure;308504;helped;Yes;0;No;4.518431373;No
establish;3034013;helping;Yes;0;No;4.784123911;No
