iso_code	sil_code	wals_code	population	raw_population
aaa	AAA	gho	9000	9,000 (1994).
aal	AAL	ktk	30000	25,000 in Nigeria (1998 R. M. Blench). Population total all countries: 30,000.
aar	AFR	qaf	1439367	979,367 in Ethiopia. 905,872 monolinguals (1998 census). Population total all countries: 1,439,367.
aau	AAU	aba	7267	7,267 (2000 census).
abb	ABB	bnk	12000	12,000 (2001 SIL).
abe	ABE	abw	20	20 (1991 M. Krauss). Ethnic population: 1,800 including Eastern Abnaki in USA (1982 SIL).
abi	ABI	abd	50500	50,500 (1993 SIL).
abj	ACE	akb	Extinct	Extinct.
abk	ABK	abk	105952	101,000 in Georgia (1993). Population total all countries: 105,952.
abq	ABQ	abz	44895	34,800 in Russia (1989 census). Population total all countries: 44,895.
abt	ABT	amb	44000	44,000 (1991 SIL). Population includes 27,000 in Wosera (1991 SIL), 9,000 in Maprik (1991 SIL), 8,000 in Wingei (1991 SIL).
abv	AFH	abh	310000	300,000 in Bahrain (1995). Population total all countries: 310,000.
aca	ACA	acg	400	400 (1994 SIL).
acc	ACC	aci	48252	48,252 (2000 WCD).
ace	ATJ	ace	3000000	3,000,000 (1999 WA).
ach	ACO	acl	791796	746,796 in Uganda (1991 census). Population includes 12,089 speakers of Chopi, (1972 Ladefoged et al.). Population total all countries: 791,796.
aci	ACI	akc	Extinct	Extinct.
acm	ACM	arq	15100000	11,500,000 in Iraq. Population total all countries: 15,100,000.
acn	ACN	acn	29408	27,708 in China (1990 census). Population total all countries: 29,408.
acr	ACR	aci	37300	37,300 (1990 SIL).
acu	ACU	acu	5000	3,000 in Peru. Population total all countries: 5,000.
acv	ACH	acm	10	10 nonfluent speakers (1997 Nevin). Ethnic population: 1,000 (1997 Bruce Nevin).
acw	ACW	arh	6000000	6,000,000 in Saudi Arabia (1996).
acy	ACY	ako	1300	1,300 (1995). Ethnic population: 6,000 in the Cypriot Maronite ethnic group, 140 Maronites in Kormatiki, 80 to 100 in Limassol, the rest in the Maronite community in Nicosia.
adi	ADI	boq	111088	110,000 in India (1997 BSI). Population includes 1,200 Palibo. Population total all countries: 111,088.
adi	ADI	boj	111088	110,000 in India (1997 BSI). Population includes 1,200 Palibo. Population total all countries: 111,088.
adi	ADI	gal	111088	110,000 in India (1997 BSI). Population includes 1,200 Palibo. Population total all countries: 111,088.
adi	ADI	mil	111088	110,000 in India (1997 BSI). Population includes 1,200 Palibo. Population total all countries: 111,088.
adj	ADJ	adi	100000	100,000 (1999 SIL).
ads	ADS	ada	3400	3,400 including hearing people (2003).
